image_path,label_path
aachen/images/aachen_1.tif,aachen/labels/aachen_1.tif
aachen/images/aachen_10.tif,aachen/labels/aachen_10.tif
aachen/images/aachen_11.tif,aachen/labels/aachen_11.tif
aachen/images/aachen_12.tif,aachen/labels/aachen_12.tif
aachen/images/aachen_13.tif,aachen/labels/aachen_13.tif
aachen/images/aachen_14.tif,aachen/labels/aachen_14.tif
aachen/images/aachen_15.tif,aachen/labels/aachen_15.tif
aachen/images/aachen_16.tif,aachen/labels/aachen_16.tif
aachen/images/aachen_18.tif,aachen/labels/aachen_18.tif
aachen/images/aachen_19.tif,aachen/labels/aachen_19.tif
aachen/images/aachen_2.tif,aachen/labels/aachen_2.tif
aachen/images/aachen_21.tif,aachen/labels/aachen_21.tif
aachen/images/aachen_22.tif,aachen/labels/aachen_22.tif
aachen/images/aachen_24.tif,aachen/labels/aachen_24.tif
aachen/images/aachen_26.tif,aachen/labels/aachen_26.tif
aachen/images/aachen_27.tif,aachen/labels/aachen_27.tif
aachen/images/aachen_28.tif,aachen/labels/aachen_28.tif
aachen/images/aachen_29.tif,aachen/labels/aachen_29.tif
aachen/images/aachen_30.tif,aachen/labels/aachen_30.tif
aachen/images/aachen_31.tif,aachen/labels/aachen_31.tif
aachen/images/aachen_32.tif,aachen/labels/aachen_32.tif
aachen/images/aachen_33.tif,aachen/labels/aachen_33.tif
aachen/images/aachen_35.tif,aachen/labels/aachen_35.tif
aachen/images/aachen_36.tif,aachen/labels/aachen_36.tif
aachen/images/aachen_37.tif,aachen/labels/aachen_37.tif
aachen/images/aachen_39.tif,aachen/labels/aachen_39.tif
aachen/images/aachen_4.tif,aachen/labels/aachen_4.tif
aachen/images/aachen_42.tif,aachen/labels/aachen_42.tif
aachen/images/aachen_43.tif,aachen/labels/aachen_43.tif
aachen/images/aachen_46.tif,aachen/labels/aachen_46.tif
aachen/images/aachen_47.tif,aachen/labels/aachen_47.tif
aachen/images/aachen_49.tif,aachen/labels/aachen_49.tif
aachen/images/aachen_5.tif,aachen/labels/aachen_5.tif
aachen/images/aachen_51.tif,aachen/labels/aachen_51.tif
aachen/images/aachen_52.tif,aachen/labels/aachen_52.tif
aachen/images/aachen_53.tif,aachen/labels/aachen_53.tif
aachen/images/aachen_55.tif,aachen/labels/aachen_55.tif
aachen/images/aachen_56.tif,aachen/labels/aachen_56.tif
aachen/images/aachen_57.tif,aachen/labels/aachen_57.tif
aachen/images/aachen_59.tif,aachen/labels/aachen_59.tif
aachen/images/aachen_6.tif,aachen/labels/aachen_6.tif
aachen/images/aachen_63.tif,aachen/labels/aachen_63.tif
aachen/images/aachen_64.tif,aachen/labels/aachen_64.tif
aachen/images/aachen_67.tif,aachen/labels/aachen_67.tif
aachen/images/aachen_68.tif,aachen/labels/aachen_68.tif
aachen/images/aachen_7.tif,aachen/labels/aachen_7.tif
aachen/images/aachen_70.tif,aachen/labels/aachen_70.tif
aachen/images/aachen_8.tif,aachen/labels/aachen_8.tif
aachen/images/aachen_9.tif,aachen/labels/aachen_9.tif
abancay/images/abancay_1.tif,abancay/labels/abancay_1.tif
abancay/images/abancay_10.tif,abancay/labels/abancay_10.tif
abancay/images/abancay_11.tif,abancay/labels/abancay_11.tif
abancay/images/abancay_12.tif,abancay/labels/abancay_12.tif
abancay/images/abancay_15.tif,abancay/labels/abancay_15.tif
abancay/images/abancay_18.tif,abancay/labels/abancay_18.tif
abancay/images/abancay_19.tif,abancay/labels/abancay_19.tif
abancay/images/abancay_20.tif,abancay/labels/abancay_20.tif
abancay/images/abancay_22.tif,abancay/labels/abancay_22.tif
abancay/images/abancay_23.tif,abancay/labels/abancay_23.tif
abancay/images/abancay_24.tif,abancay/labels/abancay_24.tif
abancay/images/abancay_27.tif,abancay/labels/abancay_27.tif
abancay/images/abancay_28.tif,abancay/labels/abancay_28.tif
abancay/images/abancay_29.tif,abancay/labels/abancay_29.tif
abancay/images/abancay_3.tif,abancay/labels/abancay_3.tif
abancay/images/abancay_30.tif,abancay/labels/abancay_30.tif
abancay/images/abancay_32.tif,abancay/labels/abancay_32.tif
abancay/images/abancay_33.tif,abancay/labels/abancay_33.tif
abancay/images/abancay_34.tif,abancay/labels/abancay_34.tif
abancay/images/abancay_37.tif,abancay/labels/abancay_37.tif
abancay/images/abancay_4.tif,abancay/labels/abancay_4.tif
abancay/images/abancay_40.tif,abancay/labels/abancay_40.tif
